,Title,Accident_x0020_Date,Geolocation_x0020_Latitude,Geolocation_x0020_Longitude,NSTB_x0020_Investigation_x0020_Status,NTSB_x0020_Title,Executive_x0020_Summary,Probable_x0020_Cause,AccidentContent,AccidentCount,AccidentHeader,DisclaimerContent,WhatHappened,WhatWeFound,WhatWeRecommended,IIC,LessonsLearned,Waterway,InvestigativeDetailVideo1,InvestigativeDetailVideo2,InvestigativeDetailVideo3,InvestigativeDetailVideo4,InvestigativeDetailVideo1Title,InvestigativeDetailVideo2Title,InvestigativeDetailVideo3Title,InvestigativeDetailVideo4Title,RelatedSafetyAlert,RelatedRecommendations,RelatedReports
0,Derailment and Hazardous Materials Release of Union Pacific Railroad Unit Ethanol Train,2017-03-10T05:00:00Z,43.2365727,-94.7595717,Closed,,,,,,,,"<p>On March 10, 2017, about 12&#58;50 a.m., central standard time, eastbound Union Pacific Railroad (UP) unit ethanol train, UEGKOT-09, with 3 locomotives, 98 loaded tank cars, and 2 buffer cars filled with sand derailed near milepost (MP) 56.8 at a timber railroad bridge on the Estherville Subdivision, near Graettinger, Iowa.&#160;Twenty loaded tank cars in positions 21 through 40 derailed. Fourteen of the derailed tank cars released about 322,000 gallons of undenatured ethanol, fueling a postaccident fire.&#160;The accident occurred near Jack Creek, a tributary of the Des Moines River. There were no injuries and three nearby homes were evacuated. About 400 feet of railroad track and a 152-foot railroad bridge were destroyed in the accident. UP estimated damages at $4 million.&#160;At the time of the accident, the wind was from the northwest at 17 mph gusting to 30 mph, visibility was 10 miles, and the temperature was 10°F. Figure 1 shows an aerial view of the accident.<br></p>",<p>We determined&#160;that the probable cause of the derailment was a broken rail that occurred as the train was traveling over the west approach of the Jack Creek Bridge resulting from Union Pacific Railroad’s inadequate track maintenance and inspection program and the Federal Railroad Administration’s inadequate oversight of the application of federal track safety standards. Contributing to the consequences of this accident was the continued use of US Department of Transportation Specification-111 tank cars.<br></p>,"<p>​We made new recommendations to the Federal Railroad Administration, the Pipeline and Hazardous Materials Safety Administration and to Union Pacific Railroad and reiterated a recommendation to the Pipeline and Hazardous Materials Safety Administration.</p>",,,,,,,,,,,,,,
1,"Southeastern Pennsylvania Transportation Authority Light Rail Collisions, Upper Darby, Pennsylvania",2017-02-21T05:00:00Z,39.962646,-75.261491,Closed,,,,,,,,"<p>​On February 21, 2017, at 8&#58;03 a.m. eastern standard time, Southeastern Pennsylvania Transportation Authority (SEPTA) light-rail passenger train 57 (train 57), traveling westbound on the Market-Frankford Line, entered the number 2 loop track at the 69th Street Transportation Center located in Upper Darby, Pennsylvania, and struck stopped SEPTA light-rail passenger train 67 (train 67) on the number 2 loop track. The collision and associated derailment also caused train 67 to strike SEPTA light-rail train 51 (train 51), which was operating in the opposite direction on the adjacent number 1 loop track.&#160;Train 57 was traveling about 14 mph at the time of the collision. Four people were injured (two passengers and two car operators) and transported by emergency responders to local medical facilities for treatment. The total estimated equipment damage to all involved light-rail equipment was $1.6 million. At the time of the accident, the sky was clear, the wind was from the northeast at 6 mph, the visibility was 10 miles, and the temperature was 37° F.<br></p>",<p>​We&#160;determined&#160;that the probable cause of this accident was the temporary loss of awareness and lack of proper speed control by the train 57 operator as the train entered the 69th Street station loop track.​<br></p>,<p>​We made recommendations to the Federal Transit Administration and to SEPTA.<br></p>,,,,,,,,,,,,,,
2,BNSF Railway Roadway Worker Fatalities,2017-01-17T05:00:00Z,43.2978892,-103.8388963,Closed,,,,,,,,"<p>​​On January 17, 2017, about 10&#58;09 a.m. mountain standard time, BNSF Railway westbound train E DOLEBM0 01E, traveling at 35 mph, struck and killed two roadway workers, including the watchman/lookout. The accident occurred at milepost 477, on the Black Hills subdivision, in Edgemont, South Dakota. The three-member roadway work group had been cleaning snow and ice from the track switch on the main track to prepare for the movement of a train that was to have its air brake system tested in a stationary test on the main track. The crew of the striking train sounded the train horn and bell, and both members of the train crew applied emergency braking; however, there was no response from the roadway work group, and the train was unable to stop before reaching the work location. At the time of the accident, the sky was clear, the wind was calm, and reported temperatures ranged from 13° to 18°F.</p><p>The accident occurred in the west leg of the Deadwood wye switch. Train movements on the main tracks in this area are controlled by centralized traffic control and governed by operating rules, general orders, timetable instructions, and the signal indications of an absolute block system.
</p><p>The Black Hills subdivision consisted of two main tracks. The maximum operating speed was 35 mph between milepost 476.1 and milepost 477.0 on both main tracks. About 20 eastbound and 20 westbound trains per day operated on the main tracks through the accident area. There were multiple main tracks in this area with eastbound trains typically operating on main track 2 and westbound trains operating on main track 1.&#160;<br></p>","<p>​The probable cause of the accident was the improper use of train approach warning by the BNSF Railway roadway work group to provide on-track safety. Contributing to the accident was incorrect information provided in the job briefing, including a miscalculated sight-distance assessment. Also contributing to the accident was the failure of BNSF Railway to provide the watchman/lookout with the necessary equipment to alert the work group of oncoming trains and equipment. Further contributing to the accident was the Federal Railroad Administration’s inconsistent enforcement of federal regulations requiring that railroads equip watchman/lookouts.​<br></p>",<p>​We made recommendations to the Federal Railroad Administration​&#160;​and to BNSF Railway.​<br></p>,,,,,,,,,,,,/advocacy/safety-alerts/Documents/SA-066.pdf,,
3,Southeastern Pennsylvania Transportation Authority Trolley Collision,2017-01-04T05:00:00Z,40.0024133,-75.2584533,Closed,,,,,,,,"​​On January 4, 2017, at 12&#58;47 p.m. eastern standard time, Southeastern Pennsylvania Transportation Authority (SEPTA) trolley 9101 (struck trolley), traveling northwest on trolley route 10 with an estimated 47 passengers on board, stopped near the intersection of Lancaster Avenue and 38th Street, in Philadelphia, Pennsylvania, to offload passengers.&#160;SEPTA trolley 9085 (striking trolley), with 6 passengers on board, was also traveling northwest on trolley route 10, and struck stopped SEPTA trolley 9101 in the rear at an estimated impact speed of 10 mph. First responders transported 40 passengers and both operators to local hospitals for treatment of minor injuries. The total estimated equipment damage to both trolleys was $60,000. At the time of the accident, the sky was partly cloudy, visibility was 10 miles, and the temperature was 54°F.<br>","<p>We determined&#160;that the probable cause of this accident was the failure of the operator of the striking trolley to slow and stop his trolley before colliding with the stopped trolley because of his impairment from fatigue and the sedating effects of the repeated doses of over-the-counter antihistamine diphenhydramine. Contributing to the operator’s fatigue was his illness, which negatively affected his medical fitness for duty.​<br></p>",<p>​We made a recommendation to the American Public Transportation Association.<br></p>,,,,,,,,,,,,/advocacy/safety-alerts/Documents/SA-063.pdf,,
4,"Derailment of Long Island Railroad passenger train in Brooklyn, NY",2017-01-04T05:00:00Z,40.645353,-74.015209,Closed,,,,,,,,"<p>On, January 4, 2017, about 8&#58;18 a.m. eastern standard time, Long Island Rail Road (LIRR) passenger train 2817, consisting of six cars, collided with the platform at the end of track 6 in the Atlantic Terminal in Brooklyn (a borough of New York City, New York).&#160;The lead end of the lead car came to rest on top of the concrete platform at the end of the track.&#160;As result of this accident, 108 people were injured. Damage was estimated at $5.3 million. The accident occurred inside the terminal and was not affected by the weather.<br></p>","<p>​We determined the probable cause of the Brooklyn, New York, accident was that the engineer of Long Island Rail Road train 2817 fell asleep due to his chronic fatigue. Contributing to his chronic fatigue was the engineer’s severe undiagnosed obstructive sleep apnea, and Long Island Rail Road’s failure to initiate obstructive sleep apnea screening for safety-sensitive personnel and refer at-risk safety-sensitive personnel for definitive obstructive sleep apnea testing and treatment before the accident. Further contributing to the accident was the Federal Railroad Administration’s failure to require railroads to medically screen employees in safety-sensitive positions for obstructive sleep apnea and other sleep disorders. Also contributing to the accident was the lack of either a device or a safety system that could have intervened to stop the train before the collision.​​<br></p>",,,,,,,,,,,,,,,
5,New York City Transit Train Strikes Two Flagmen,2016-11-03T04:00:00Z,40.6452227,-74.0152085,Closed,,,,,,,,"<p>​On November 3, 2016, at 12&#58;05 a.m. eastern daylight time, New York City Transit (NYCT) subway train 2328G, operating underground in a tunnel between the Fort Hamilton Parkway and Church Avenue stations, struck two NYCT employees on the F Line in Brooklyn, New York.​&#160;The employees were setting up flagging protection for a contractor who needed to cross the track to access an instrument control room in the tunnel. One employee was killed, and one was seriously injured. After the accident, 23 passengers were evacuated while the crew remained with the train. The transit equipment and the track structure did not sustain any damage.<br></p>",<p>We determined&#160;that the probable cause of the accident was the failure of the Rail Control Center to communicate to the train dispatcher and tower operator that flaggers were on the track. Also contributing to the accident is New York City Transit’s absence of a risk assessment when planning its flagging operations and permitting train movements into unprotected work zones.​<br></p>,<p>​We ma​de recommendations to the Metropolitan Transportation Authority for New York City Transit.<br><br></p>,,,,,,,,,,,,,,
6,Crash of NJ Transit commuter train,2016-09-29T04:00:00Z,40.7421,-74.02357,Closed,,,,,,,,"On September 29, 2016, about 8&#58;38 a.m. eastern daylight time, New Jersey Transit (NJT) train 1614 failed to stop, overrode a bumping post at the end of track 5, and struck a wall of the Hoboken Terminal in Hoboken, New Jersey. Train 1614 consisted of one controlling passenger car (cab car), three passenger cars, and one locomotive at the rear of the train. The train was traveling about 21 mph at the time of the accident.
<br><br><div>About 250 passengers and 3 crewmembers (engineer, passenger car conductor, and assistant conductor) were on the train. One person on the passenger platform was struck by falling debris and died; 110 passengers and crewmembers were injured. Total damage to the train, track, and facility is estimated at $6 million. At the time of the accident, the sky was overcast, an 18-mph wind was coming from the northeast, and the temperature was 63​​​F.<br></div><div>​<br></div>","<p>​​​We determined that the probable cause of the Hoboken, New Jersey, accident was the failure of New Jersey Transit train 1614’s engineer to stop the train after entering Hoboken Terminal due to the engineer’s fatigue resulting from his undiagnosed severe obstructive sleep apnea. Contributing to the accident was New Jersey Transit’s failure to follow its internal obstructive sleep apnea screening guidance and refer at-risk safety-sensitive personnel for definitive obstructive sleep apnea testing and treatment. Further contributing to the accident was the Federal Railroad Administration’s failure to require railroads to medically screen employees in safety-sensitive positions for obstructive sleep apnea and other sleep disorders. Also contributing to the accident was the lack of either a device or safety system that could have intervened to stop the train before the collision.&#160;&#160;<br><br></p>",,,,,,,,,,,,,,,
7,Derailment of WMATA Metrorail Train in Interlocking,2016-07-29T04:00:00Z,38.88593,-77.157139,Closed,,,,,,,,"<div>​​On July 29, 2016, about 6&#58;14 a.m. eastern daylight time, outbound (westbound)</div><div>Washington Metropolitan Area Transit Authority (WMATA) Metrorail train 602 derailed while&#160;</div><div>traversing a crossover in the East Falls Church interlocking, operating on the Silver Line in Falls
</div><div>Church, Virginia. About 63 passengers were on board the six-car passenger train, all of whom were evacuated out of the lead car, assisted by the Metro Transit Police Department. Three passengers reported injuries, including one who was hospitalized.&#160; &#160; &#160;</div><div><br></div>","<p>​We&#160;determined&#160;that the probable cause of this 
accident was a wide track gage condition resulting from the sustained use of deteriorating wooden 
crossties due to Washington Metropolitan Area Transit Authority’s ineffective inspection and 
maintenance practices and inadequate safety oversight.<br><br></p>",,,,,,,,,,,,,,,
8,South Florida Regional Transportation Authority Highway-Rail Grade Crossing Collision,2016-07-06T04:00:00Z,26.700962,-80.062352,Closed,,,,,,,,"​​On July 6, 2016, about 9&#58;59 a.m. eastern daylight time, northbound Amtrak Silver<div>Meteor train P09806 (train), operating on the South Florida Regional Transportation&#160;</div><div>Authority (SFRTA) track, struck a 2004 white 4-door Mercury Sable (automobile) at the&#160;</div><div>25th Street highway-rail grade crossing (crossing) in West Palm Beach, Florida. At the time of the collision, a VTMI signal employee was working in the crossing warning system bungalow.&#160;The event recorder in the bungalow recorded a 1-second warning before the collision. The automobile driver was seriously injured.</div><div><br></div><div>​​The train was en route from Miami, Florida, to New York, New York. The train did 
<br></div><div>not derail. The train crewmembers and passengers were not injured. The damages to the train 
</div><div>were estimated at $16,300; the automobile was a total loss. At the time of the accident, the 
</div><div>sky was clear, the visibility was 10 miles, and the temperature was 88°F.&#160; &#160; &#160;&#160;<br></div><div><br></div>",<p>​​We determined&#160;that the probable cause of the accident was the failure of the VTMI signal inspector to provide for the safety of train movements and highway users prior to disabling the highway-rail grade crossing warning system at the 25th Street highway-rail grade crossing while performing tests. Contributing to the accident was the failure of the South Florida Regional Transportation Authority and VTMI management to ensure proper procedures were followed during testing to provide for the safety of the train movements and the highway users.&#160; &#160;​</p><p><br></p>,<p>​We&#160;made a​ recommendation to the South Florida Regional Transportation Authority and to VTMI.&#160;</p><p><br><br></p>,,,,,,,,,,,,,,
9,BNSF Railway Head-On Collision,2016-06-28T04:00:00Z,35.326792,-101.361616,Closed,,,,,,,,"On June 28, 2016, at 8&#58;21 a.m. central daylight time, eastbound BNSF Railway (BNSF) train S LACLPC1-26K (striking train) collided with BNSF train Q CHISBD6 27L (westbound train) at milepost (MP) 525.4 on the BNSF Panhandle Subdivision near Panhandle, Texas. The collision occurred about 0.5 mile east of the east switch of the Panhandle siding. A significant fire resulted from the collision. The locomotive engineer and conductor on the striking train and the conductor on the westbound train died in the accident. The three head-end locomotives and 10 intermodal cars of the striking train derailed. All five head-end locomotives and three intermodal cars of the westbound train derailed.","<p>​​We determined&#160;that the probable cause of the&#160;collision was the failure of the striking train (S-LACLPC1-26K) crewmembers to comply with signal indications requiring them to slow and stop their train before signal 5261 due to (1) the engineer’s disengagement from operating, possibly due to fatigue arising from untreated obstructive sleep apnea, and insufficient sleep quality and quantity on the night preceding the collision, and (2) the conductor’s disengagement from operating, possibly due to the effects of two sedating medications. A functional positive train control system would have prevented the collision.​​</p>",,,,,,,,,,,,,,,
