,Title,Accident_x0020_Date,Geolocation_x0020_Latitude,Geolocation_x0020_Longitude,NSTB_x0020_Investigation_x0020_Status,NTSB_x0020_Title,Executive_x0020_Summary,Probable_x0020_Cause,AccidentContent,AccidentCount,AccidentHeader,DisclaimerContent,WhatHappened,WhatWeFound,WhatWeRecommended,IIC,LessonsLearned,Waterway,InvestigativeDetailVideo1,InvestigativeDetailVideo2,InvestigativeDetailVideo3,InvestigativeDetailVideo4,InvestigativeDetailVideo1Title,InvestigativeDetailVideo2Title,InvestigativeDetailVideo3Title,InvestigativeDetailVideo4Title,RelatedSafetyAlert,RelatedRecommendations,RelatedReports
0,Rail Grinder Derailment on Union Pacific Railroad,2006-11-09T05:00:00Z,39.203232,-120.793877,Closed,,,,,,,,"<p>​About 11&#58;00 a.m.&#160;on November 9, 2006, a Harsco Track Technologies (Harsco) rail grinder&#160;was moving on the Union Pacific Railroad (UP) when it derailed near Baxter, California. The rail grinder consisted of 2 modified locomotives and 11 specialized rail cars. Ten of the cars derailed. One UP conductor-pilot, one Harsco subcontractor cook, and eight Harsco employees, including one supervisor, were on board at the time of the accident. Two of the Harsco employees were killed. A fire broke out in the wreckage following the derailment. Monetary damage to the equipment and track was estimated to be $3.33 million.<br></p>","<p>​We&#160;determined&#160;that the probable cause of the November 9, 2006, derailment of the Harsco Track Technologies rail grinder was the failure of the braking system due to ineffective preaccident maintenance, inspections, and testing and the inappropriate brake recharging technique used by the A-end operator. A contributing factor was the failure of the Federal Railroad Administration to provide adequate safety oversight of rail grinders.​<br></p>",,,,,,,,,,,,,,,
1,Derailment of Norfolk Southern Railway Company Train 68QB119 with Release of Hazardous Materials and Fire,2006-10-20T04:00:00Z,40.738927,-80.318932,Closed,,,,,,,,"<p>​​About 10&#58;41 p.m. eastern daylight time on Friday, October 20, 2006, Norfolk Southern Railway Company train 68QB119, en route from the Chicago, Illinois, area to Sewaren, New Jersey, derailed while crossing the Beaver River railroad bridge in New Brighton, Pennsylvania. The train consisted of a three-unit locomotive pulling 3 empty freight cars followed by 83 tank cars loaded with denatured ethanol, a flammable liquid. Twenty-three of the tank cars derailed near the east end of the bridge, with several of the cars falling into the Beaver River. Of the 23 derailed tank cars, about 20 released ethanol, which subsequently ignited and burned for about 48 hours. Some of the unburned ethanol liquid was released into the river and the surrounding soil. Homes and businesses within a seven-block area of New Brighton and in an area adjacent to the accident were evacuated for 2 days. No injuries or fatalities resulted from the accident. The Norfolk Southern Railway Company estimated total damages to be $5.8 million.&#160;<br></p>",<p>We determined&#160;that the probable cause of the derailment of Norfolk Southern Railway Company train 68QB119 ​was the Norfolk Southern Railway Company’s inadequate rail inspection and maintenance program that resulted in a rail fracture from an undetected internal defect. Contributing to the accident were the Federal Railroad Administration’s inadequate oversight of the internal rail inspection process and its insufficient requirements for internal rail inspection.</p>,"<p>​We made&#160;​recommendations to the Federal Railroad Administration, the Pipeline and Hazardous Materials Safety Administration, and the Norfolk Southern Railway Company.​​</p>",,,,,,,,,,,,,,
2,Union Pacific Railroad Yard Switching Operations Fatality,2006-10-13T04:00:00Z,36.8949526,-121.7560826,Closed,,,,,,,,"<p>​​On October 13, 2006, at 9&#58;20 a.m., a Union Pacific Railroad (UP) switching brakeman was struck and killed by three coupled railroad cars at the UP’s Watsonville Junction Yard in Pajaro, California. The brakeman had been assigned to a two-person crew (one brakeman, one conductor) designated as LRQ42R-13, which was a regular weekday assignment. Their assignment was to switch&#160;2 railroad cars using a remote-controlled locomotive.</p>","<p>We determined​&#160;that the probable cause of the Union Pacific Railroad brakeman being struck and killed on October 13, 2006, in Pajaro, California, was the brakeman’s decision to board moving equipment. Contributing to the accident was the crew’s failure to properly follow the Union Pacific Railroad’s speed restrictions when switching cars.​</p>",,,,,,,,,,,,,,,
3,Passenger Fatality on Long Island Rail Road,2006-08-05T04:00:00Z,40.7454888,-73.9048842,Closed,,,,,,,,"<p>​On August 5, 2006, about 3&#58;53 p.m., a 5-foot 6-inch, 110-pound, 18-year-old female passenger exiting a Long Island Rail Road (LIRR) commuter train at Woodside station in Queens, New York, fell through a 7 7/8-inch horizontal gap between the rail car and the station platform.&#160;After falling through the gap to track level beneath the platform, she did not follow instructions from the train conductor and her friends to remain still and wait to be rescued. Instead, the woman crawled under the platform and into the path of an oncoming passenger train. She sustained fatal injuries. Toxicology testing showed that her blood alcohol concentration (BAC) was 0.23 gram percent.&#160;The weather at the time of the accident was sunny, clear, and warm.<br></p>","<p>We determined&#160;that the probable cause of the passenger fatality on August 5, 2006, at the Long Island Rail Road Woodside station in Queens, New York, was the passenger falling through a gap between the rail car and the platform while attempting to disembark the train, not following instructions from the train conductor to remain still until help arrived, and then crawling under the platform and into the path of a moving train on the opposite side of the platform. Contributing to the accident was the passenger’s alcohol-impaired condition.​<br></p>",,,,,,,,,,,,,,,
4,Derailment of Chicago Transit Authority Train Number 220 Between Clark/Lake and Grand/Milwaukee Stations,2006-07-11T04:00:00Z,41.885738,-87.638226,Closed,,,,,,,,"<p>​​On Tuesday, July 11, 2006, about 5&#58;06 p.m., central daylight time, the last car of northbound Chicago Transit Authority Blue Line train number 220 derailed in the subway between the Clark/Lake and Grand/Milwaukee stations in downtown Chicago, Illinois. About 1,000 passengers were on board the eight-car rapid transit train. Following the derailment, the train came to a stop, and electrical arcing between the last car and the 600-volt direct current third rail generated smoke. The single operator in the lead car received a number of calls on the train intercom. The operator exited the control compartment, stepped onto the catwalk, and walked beside the train to investigate.</p><p>Electrical power was removed from the third rail, and most passengers walked to an emergency exit stairway about 350 feet in front of the train that led to the street level. Some passengers had to be assisted in their evacuation by emergency responders. The Chicago Fire Department reported that 152 persons were treated and transported from the scene. There were no fatalities. Total damage exceeded $1 million.<br></p>","<p>We&#160;determined&#160;that the probable cause of the July 11, 2006, derailment of Chicago Transit Authority train number 220 in the subway in Chicago, Illinois, was the Chicago Transit Authority’s ineffective management and oversight of its track inspection and maintenance program and its system safety program, which resulted in unsafe track conditions. Contributing to the accident were the Regional Transportation Authority’s failure to require that action be taken by the Chicago Transit Authority to correct unsafe track conditions and the Federal Transit Administration’s ineffective oversight of the Regional Transportation Authority. Contributing to the seriousness of the accident was smoke in the tunnel and the delay in removing that smoke.​​</p>","<p>​We made ​safety recommendations to the Federal Transit Administration, the State of Illinois, the Regional Transportation Authority, the Chicago Transit Board, and the Chicago Transit Authority.​​</p>",,,,,,,,,,,,,,
5,Collision of Two Southeastern Pennsylvania Transportation Authority Trains,2006-07-01T04:00:00Z,40.1300849,-75.1217392,Closed,,,,,,,,"<p>​​On Saturday, July 1, 2006, about 2&#58;53 p.m., southbound Southeastern Pennsylvania Transportation Authority (SEPTA) passenger train 1143 collided head on with standing northbound SEPTA train 1134 near Abington, Pennsylvania. The southbound train was traveling about 11 mph when it struck the northbound train. As a result of the collision, the control cab car and two passenger cars on the southbound train and the control cab car on the northbound train were derailed. Thirty-eight passengers were injured and treated on scene. Of those, 29 were transported to local hospitals, and 8 were admitted. All six crewmembers from both trains were also taken to local hospitals; three of them were admitted. Total property damage was about $179,700.&#160;</p>","<p>We determined&#160;that the probable cause of the July 1, 2006, collision of two Southeastern Pennsylvania Transportation Authority passenger trains near Abington, Pennsylvania, was the failure of the engineer on southbound train 1143 to comply with the wayside signals and stop the train on the main track at the Grove South Control Point. Contributing to the accident was the lack of a functioning cab signal system with automatic train control enforcement. Also contributing to the accident was a dispatcher computer alarm system that did not adequately alert the train dispatcher to the overrun signal.​</p>",,,,,,,,,,,,,,,
6,Operation of Amtrak Passenger Train Over CN Misaligned Track,2006-06-26T04:00:00Z,30.776617,-90.509600,Closed,,,,,,,,"<p>​​About 3&#58;25 p.m. on June 26, 2006, National Railroad Passenger Corporation (Amtrak) train PO5871-26, en route from New Orleans, Louisiana, to Chicago, Illinois, and operating over CN railroad (CN) main line track, encountered a section of misaligned track near Arcola, Louisiana.&#160;The train was traveling about 67 mph when the engineer said he saw that the track ahead was misaligned by about 2 feet to the east. He made an immediate full service brake application,&#160;and although the train negotiated the area without derailing, the misaligned track caused passengers to be jostled about in the cars. Nine of the train’s 104 passengers reported injuries at the scene, and 4 were transported to a local hospital where they were treated and released. None of the 10 Amtrak employees aboard the train was injured.<br></p>","<p>We determined&#160;that the probable cause of the June 26, 2006, accident near Arcola, Louisiana, involving Amtrak train PO5871-26 was a heat-induced track misalignment that resulted because CN railroad’s continuous welded rail procedures failed to ensure that rail was adequately de-stressed during or after the installation of a turnout.​</p>",,,,,,,,,,,,,,,
7,Washington Metropolitan Area Transit Authority Train Strikes Wayside Worker Near Dupont Circle Station,2006-05-14T04:00:00Z,38.9110757,-77.0458412,Closed,,,,,,,,"<p>​​About 10&#58;16 a.m. on Sunday, May 14, 2006, a southbound Washington Metropolitan Area Transit Authority (WMATA) Metrorail Red Line subway train struck and killed a Metrorail employee as the train was about to enter the Dupont Circle station in Washington, D.C. The employee was an automatic train control system mechanic who had been working with two other mechanics at the interlocking2 just north of the Dupont Circle station. All three mechanics had moved between the two main tracks north of the interlocking in order to stay clear of a northbound train that was leaving the station. As the southbound accident train was arriving, the other two mechanics remained in the clear between the two trains as they passed and were not injured. According to signal system data logs, the southbound train was moving about 40 mph as it traveled past the interlocking.<br></p>","<p>We determined&#160;that the probable cause of the Dupont Circle accident was the failure of the automatic train control system (senior) mechanic to stay clear of the approaching southbound train either because he was not aware of the presence of the train or because he lacked a physical reference by which to identify a safe area outside the train’s dynamic envelope. Contributing to the accident were Washington Metropolitan Area Transit Authority Metrorail right-of-way rules and procedures that did not provide adequate safeguards to protect the wayside personnel from approaching trains, that did not ensure that train operators were aware of wayside work being performed, and that did not adequately ​provide for reduced train speeds through work areas. Also contributing to the accident was the lack of an aggressive program of rule compliance testing and enforcement on the Metrorail system.&#160;​</p>",<p>​We made recommendations to the Washington Metropolitan Area Transit Authority.<br></p>,,,,,,,,,,,,,,
8,Rear-end Collision of Norfolk Southern Trains,2006-01-18T05:00:00Z,33.610316,-86.171849,Closed,,,,,,,,"<p>​About 4&#58;17 p.m., central standard time,&#160;on January 18, 2006, eastbound Norfolk Southern Railway (NS) freight train No. 226A117 (226), while traveling about 50 mph near Lincoln, Alabama, diverted from the main track onto a siding track where it struck the rear of eastbound NS train No. 22RA116 (22R), which was stopped in the siding. The collision derailed the three locomotives and the first seven cars of train 226 and the rear three cars of train 22R. The three crewmembers of train 226 were injured. Property damage was estimated to be about $5.2 million.<br><br></p>","<p>We&#160;determined&#160;that the probable cause of the January 18, 2006, collision of Norfolk Southern Railway train 226 with the rear of Norfolk Southern Railway train 22R at Lincoln, Alabama, was the failure by the crew of train 226 to recognize an extra lighted aspect (caused by reflected sunlight) as an imperfectly displayed signal and to treat it as a most restrictive indication. Contributing to the accident was Norfolk Southern Railway’s inadequate illustrations and text in the rulebook and inadequate training to prepare crews to recognize a signal displaying an extra lighted aspect as an imperfectly displayed signal. Also contributing to the accident was the lack of a positive train control system that would have intervened when the crew did not respond appropriately to the signal.​<br></p>","<p>​We ma​de recommendations to Norfolk Southern Railway Company, Class I Railroads, the Association of American Railroads and the American Short Line and Regional Railroad Association.<br></p>",,,,,,,,,,,,,,
9,Derailment of Virginia Railway Express Train,2006-01-05T05:00:00Z,38.535106, -77.283601,Closed,,,,,,,,"<p>​​On January 5, 2006, about 6&#58;44 a.m., a northbound Virginia Railway Express commuter train, 304-05, operating on CSX Transportation’s (CSX’s) RF&amp;P Subdivision derailed three passenger cars and a locomotive at Possum Point near Quantico, Virginia. Seven passengers and two crewmembers required medical attention.</p>","<p>We determined&#160;that the probable cause of the January 5, 2006, derailment of Virginia Railway Express train 304-05 near Quantico, Virginia, was an excessively worn and chipped switch point, which caused the lead truck of the fourth passenger car to derail. Contributing to the accident was CSX’s delay in replacing a switch point that had been repeatedly identified as deteriorating.&#160;​​</p>",,,,,,,,,,,,,,,
