,Title,Accident_x0020_Date,Geolocation_x0020_Latitude,Geolocation_x0020_Longitude,NSTB_x0020_Investigation_x0020_Status,NTSB_x0020_Title,Executive_x0020_Summary,Probable_x0020_Cause,AccidentContent,AccidentCount,AccidentHeader,DisclaimerContent,WhatHappened,WhatWeFound,WhatWeRecommended,IIC,LessonsLearned,Waterway,InvestigativeDetailVideo1,InvestigativeDetailVideo2,InvestigativeDetailVideo3,InvestigativeDetailVideo4,InvestigativeDetailVideo1Title,InvestigativeDetailVideo2Title,InvestigativeDetailVideo3Title,InvestigativeDetailVideo4Title,RelatedSafetyAlert,RelatedRecommendations,RelatedReports
0,Rear End Collision of Two Southern Pacific Transportation Company Freight Trains,1973-06-25T04:00:00Z,,,Closed,,,,,,,,"This report describes and analyzes a rear-end collision between two Southern Pacific Transportation Company freight trains in the SP yard at Indio, California, on June 25, 1973. Extra 8992 West, after having entered the yard, struck the rear of Extra 8659 West, which was standing on the westbound main track. All five locomotive units of Extra 8992 West were destroyed, and 25 cars of the two colliding trains were derailed. The engineer and the front brakeman of Extra 8992 West were killed. Eight cars of a train on an adjacent track were also derailed.",,,,,,,,,,,,,,,,
1,"Southern Pacific Transportation Co., Freight Train 2nd BSM 22 Munitions Explosion",1973-05-24T04:00:00Z,,,Closed,,,,,,,,"On May 24, 1973, Southern Pacific Transportation Company's freight train 2nd BSM 22, was approaching Benson, Arizona, when 1 of 12 munitions boxcars in the train's consist caught fire. The boxcars were loaded with 500-lb MK 82 bombs. As the train stopped, the cargo exploded, and the explosions continued for several hours.",,,,,,,,,,,,,,,,
2,"Texas and Pacific Work Extra 523/ Missouri Pacific Extra 1902 East, Head On Collision",1973-02-21T05:00:00Z,,,Closed,,,,,,,,"This report describes and analyzes a head-on collision which occurred at Taft, La., on February 21, 1973. At 3&#58;30 a.m., westbound Texas and Pacific Work Extra 523 passed beyond its planned stopping point on an industrial siding, made an unauthorized entry onto the main track, and was struck by eastbound Missouri Pacific Extra 1902 East. The three locomotive units of Extra 1902 East, the locomotive unit of Work Extra 523, and 16 cars were derailed as a result of the collision. Three crewmembers on Extra 1902 East were killed, probably in a fire which engulfed the locomotive units; two other crewmembers were injured.",,,,,,,,,,,,,,,,
3,Collision of Illinois Central Gulf Railroad Commuter Trains,1972-10-30T05:00:00Z,,,Closed,,,,,,,,"This report describes and analyzes the collision of two Illinois Central Gulf Railroad commuter trains in Chicago, Ill., on the morning of October 30, 1972. A train consisting of four new Highliner cars overran a station stop, attempted to back up to the platform, and was struck from the rear by another train operating on the same track. The first car of the following train over-rode the underframe of the last car of the lead train and telescoped the car.",,,,,,,,,,,,,,,,
4,Head On Collision of Two Burlington Northern Freight Trains,1972-05-24T04:00:00Z,,,Closed,,,,,,,,"At 6&#58;37 p m., on May 24, 1972, two Burlington Northern freight trains, Extra 1577 West and Extra 2043 East, collided head-on near Maquon, Illinois. Four of the locomotive units of the trains were destroyed and the fifth was heavily damaged. The engineer and the head brakeman on each train were killed.",,,,,,,,,,,,,,,,
5,Derailment of Penn Central Freight Train B-4 and Collision of Southern Railway Passenger Train No. 6 with Derailed Car,1972-04-27T04:00:00Z,,,Closed,,,,,,,,"At 10&#58;17 p.m., on April 27, 1972, eight cars in Penn Central freight train B-4 derailed as the train was moving at about 8 m.p.h. into the Potomac Yard in Arlington, Va. One of the derailed cars fouled the adjacent No. 2 main track of the Richmond, Fredericksburg and Potomac Railroad Company and was struck by Southern Railway passenger train No. 6 about 6 to 8 minutes later. The four-unit diesel-electric locomotive of the passenger train and the three occupied passenger cars were derailed. There were no serious injuries.",,,,,,,,,,,,,,,,
6,Penn Central Freight Train / Schoolbus Collision,1972-03-24T05:00:00Z,41.133843,-73.945207,Closed,,,,,,,,"At about 7&#58;55 a.m., on Friday, March 24, 1972, an eastbound schoolbus was driven across a grade crossing on Gilchrist road, near Congers, NY, and was struck by the lead locomotive of a northbound Penn Central freight train. Except for a stop sign, at which the bus driver failed to stop, and a standard railroad-crossing sign, the crossing was not specially protected. After impact the schoolbus was driven 1,116 feet down the track by the train, and the body structure of the bus disintegrated. The rear section of the bus was torn loose, fell beside the track, and overturned with a number of students underneath. Two of the several students who were ejected from the remaining portion of the bus passed through separated floor sections and fell between the rails into the path of the train. As a result of the accident five students died, and the bus driver and all 44 remaining students were injured. None of the train crew was injured.",<p>​​The probable cause of this accident was the failure of the schoolbus driver to stop at the stop sign until the crossing was clear of railroad traffic. Contributing to the accident was the unnecessary routing of the schoolbus over a not specially protected railroad/highway grade crossing.<br></p>,"<p>​​As a result of this investigation, we made recommendations to the National Highway Traffic Safety Administration, the Department of Transportation, the State of New York Department of Education, the International Association of Chiefs of Police, and all US states.​<br></p>",,,,,,,,,,,,,,
7,Head On Collision of Two Penn Central Freight Trains,1972-03-12T05:00:00Z,,,Closed,,,,,,,,"At 5&#58;27 a.m, on March 12, 1972, Penn Central freight train UY�328 (Extra 7095 East) collided bead on with Penn Central freight train S-82 (Extra 7828 West) at Herndon, Pa. Train UY�328 consisted of a two�unit diesel locomotive, 104 cars loaded with coal, and a caboose; train S�82 consisted of a two�unit locomotive, 103 cars, and a caboose. Three of the four locomotive units were destroyed and the other was heavily damaged in the accident The engineer and head brakeman on both trains were killed.",,,,,,,,,,,,,,,,
8,Hazardous Materials Railroad Accident in the Alton and Southern Gateway Yard,1972-01-22T05:00:00Z,,,Closed,,,,,,,,"At about 6&#58;20 a.m., on January 22, 1972, an overspeed tank car loaded with liquid petroleum gas collided with a standing hopper car in the Alton &amp; Southern Railroad Company's Gateway Yard in East St. Louis, Ill. In the overspeed impact, an overriding coupler on the empty freight car punctured the tank head. The pressurized propylene gas in the tank car leaked to the ground and vaporized. A large vapor cloud was formed, which ignited and exploded. More than 230 people were injured as a result of the explosion, and property damage was estimated at more than $7 1/2 million.",,,,,,,,,,,,,,,,
9,Derailment of Missouri Pacific Railroad Company's Train 94,1971-10-19T04:00:00Z,,,Closed,,,,,,,,"The Missouri Pacific Railroad's freight train 94 was traveling north on track which belongs to the Atchison, Topeka and Santa Fe Railway when 20 of its cars derailed in Houston, Texas, on October 19, 1971, at 1&#58;44 p.m. There were four diesel electric locomotive units and 82 cars in the train.
Derailed cars included six tank cars containing vinyl chloride monomer and two cars containing other hazardous materials. Two tank cars were punctured in the derailment. The vinyl chloride monomer escaped and ignited. The Houston Fire Department attempted to control the fire. Approximately 45 minutes after the initial derailment, one tank car ruptured violently and another tank car &quot;rocketed&quot; approximately 300 feet from its initial resting place. This sequence of events caused the death of a fireman. Fifty people were injured and there was considerable property damage. Most of the injured were firemen.",,,,,,,,,,,,,,,,
